id,female,age,pc1,app1,gw1,pw1,par1,teach1,mate1,fri1,mot1,aff1,aut1,pc2,app2,gw2,pw2,par2,teach2,mate2,fri2,mot2,aut2,aff2,acomp2,aca_imp,pc3,app3,gw3,pw3,par3,teach3,mate3,fri3,mot3,aff3,aut3,acomp3,pc4,app4,gw4,pw4,par4,teach4,mate4,fri4,mot4,aff4,aut4,acomp4,roman4
1001,1,14,3.75,4,4,4,4,4,3.4,4,2.8,3,4,4,4,3.75,4,4,4,3.6,4,3.6,3.8,4,3.8,3.8,4,3.75,3.75,4,4,4,3.8,4,3.6,4,3.6,3.8,4,4,4,3.8,4,3.8,3.6,4,3.6,4,3.8,4,3.4
1002,1,14,2.75,2.75,3,3,3.8,3.4,3.8,4,3,2.33,2.6,2.75,3,3.25,3,4,3.2,3.8,4,3.4,3,3,4,4,3,3.75,4,3.8,4,2.8,4,4,3.2,3,3.2,4,3.75,3.75,4,4,3.6,3.4,3.8,4,3.6,3,3,4,3.2
1003,.,14,2.25,3.5,4,3,2.2,3.2,3.6,4,2.4,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1004,0,15,3.5,3,3.25,3.2,3.6,3.6,3.6,4,3.4,3,3,3.25,3,3,3,3.4,3.6,3,4,3.2,3,3,3.6,3.6,3.5,3,3,3.2,3.8,3,3.4,3.8,3.4,3,2.6,4,3.75,3.25,3.25,3,3.6,3.2,3,4,3.4,3.33,3,3.8,4
1005,0,14,3.75,3,3.25,3,3.8,2.6,3.2,2.2,3.6,4,1.6,3.5,2.75,3,2.8,3.6,3,3.2,2,3.4,1.8,3,3.2,3.2,3.5,3,3,3,3.6,3,2.8,2,3.2,3,1.4,3,3,3,3,3,3.2,2.6,2.4,2,3.6,3,1.8,2.8,2.6
1006,1,14,2.25,2.25,3,2.2,4,4,4,4,2.8,3,3,2.75,3,3,2.8,4,4,4,4,3.2,3.4,3,2.8,2.8,2.25,2.75,3,3,3,3,3,3,3,3,3,2.6,2.25,2.75,3,2.6,3.4,3.4,3.4,3.6,3,3,2.8,2.8,3
1007,1,14,1.25,1,1.5,1,3.6,3,3,3.8,1.8,2,2.4,1.75,1.25,1.5,1.6,4,3.6,3.4,2.6,2.2,2.4,2.33,2,2,1.75,1,1.75,1.2,3.6,2.6,3.4,3,1.8,2,2.6,2.6,2,1,1.25,1.6,3.4,2.4,2.8,3.2,2.2,2,2.4,2.8,2.4
1008,1,16,2.25,2.25,3.5,2.2,3.8,4,3.6,3.8,2.6,3.33,3,2,2,3,2.2,3.4,4,3.4,4,2.6,2.4,2.33,3.6,3.6,.,.,.,.,.,.,.,.,.,.,.,.,2.25,2.25,3.25,2.2,3.6,3.2,3.4,3.8,2.4,2.33,2.4,3.4,3
1009,1,14,2.75,2.5,2.75,2.6,3,3,2.8,3.2,2.4,2,2.6,3,2.25,3.25,2.8,3.4,3.4,3,3.4,2.6,2.2,3,2.6,2.6,3,2.75,3,2.8,3.2,3,2.8,3.4,2.8,3,2.6,3,3,3,3.25,3.2,3.4,3.6,3.6,3.6,2.8,3,2.6,3,3
1010,1,14,2.25,3.5,4,2.6,4,4,4,4,3.2,1.67,3.8,3,3.5,3.25,3.2,4,3.4,3.4,3.8,3.2,3.4,2,2.8,2.8,3.25,4,4,4,4,4,4,4,3.4,3,4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1011,0,14,1.5,4,3.75,1.4,3.2,2.6,3.4,3,3.8,1,2.6,2.25,2.75,3.5,1.8,3.6,3,2.8,3,3.2,3.4,2.33,3.2,3.2,1.5,3,3.25,1.2,4,3,3.2,3.8,3.6,2.33,2.8,3,1.5,3.25,3.25,2,4,3.6,3.2,4,3.8,2,3.2,3.4,1.4
1012,1,14,3,2.75,3.5,2.8,3.6,3.4,3,4,3,2.33,2.6,2.5,2.5,2.75,2.4,3.4,2.4,2.8,4,2.6,2.4,2.33,2.6,2.6,2.75,2.5,3,2.8,3.6,3.2,3.2,4,2.8,3,2.6,2.8,3,2.5,2.75,2.8,3.4,3.6,3.4,4,2.8,3,2.6,3.2,3
1013,0,14,3.25,4,3.75,3,3.8,3,3,3.6,3,4,3.8,3,3,3,3.6,3.4,3,3,3,2.8,3.4,3,2.6,2.6,3,3.25,3.5,3.4,3.6,3.4,3,3,2.8,3.33,3.4,2.4,2.75,3,3,2.2,2.6,2.4,2.8,2.4,2.6,3,3.4,2.8,2.4
1014,0,16,3.75,3,3.75,3,3.8,2.8,3.6,3,4,3.33,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3.25,3.75,4,3,3.4,3.2,3.6,4,3.67,4,2.4,2.8
1015,1,14,1.75,3,3.5,3,3,4,3.2,3.8,2.2,3,3.4,2.25,2.25,3.5,3.2,4,4,3.2,4,2.4,3.2,3.33,3.2,3.2,2.75,4,4,3.8,4,4,3.2,4,2.4,3.33,3.8,3.2,3,4,3.75,3.8,4,4,4,4,2.2,4,4,4,3.2
