id,number,sex,age,read,antisocial,time
22,1,0,6.08,25,8.333,1
22,1,0,8.08,46.429,16.667,2
22,1,0,10.08,.,.,3
22,1,0,12.08,.,.,4
34,2,1,6.83,25,25,1
34,2,1,8.83,34.524,50,2
34,2,1,10.83,53.571,33.333,3
34,2,1,12.83,53.571,41.667,4
58,3,0,6.5,27.381,0,1
58,3,0,8.5,53.571,16.667,2
58,3,0,10.5,50,0,3
58,3,0,12.5,54.762,8.333,4
122,4,1,7.83,44.048,0,1
122,4,1,9.83,95.238,25,2
122,4,1,11.83,.,8.333,3
122,4,1,13.83,.,8.333,4
125,5,0,7.42,27.381,8.333,1
125,5,0,9.42,45.238,8.333,2
125,5,0,11.42,51.19,16.667,3
125,5,0,13.42,73.81,8.333,4
133,6,1,6.75,21.429,25,1
133,6,1,8.75,30.952,33.333,2
133,6,1,10.75,48.81,25,3
133,6,1,12.75,47.619,41.667,4
163,7,1,7.17,41.667,41.667,1
163,7,1,9.17,57.143,33.333,2
163,7,1,11.17,69.048,41.667,3
163,7,1,13.17,89.286,41.667,4
190,8,0,6.67,34.524,0,1
190,8,0,8.67,72.619,.,2
190,8,0,10.67,.,.,3
190,8,0,12.67,.,0,4
227,9,0,6.25,21.429,0,1
227,9,0,8.25,45.238,0,2
227,9,0,10.25,47.619,16.667,3
227,9,0,12.25,.,8.333,4
248,10,0,7.5,41.667,8.333,1
248,10,0,9.5,67.857,16.667,2
248,10,0,11.5,83.333,16.667,3
248,10,0,13.5,82.143,0,4
251,11,1,7.42,30.952,16.667,1
251,11,1,9.42,45.238,25,2
251,11,1,11.42,75,33.333,3
251,11,1,13.42,72.619,33.333,4
300,12,1,6.08,21.429,0,1
300,12,1,8.08,44.048,50,2
300,12,1,10.08,52.381,0,3
300,12,1,12.08,50,25,4
326,13,1,6.08,21.429,33.333,1
326,13,1,8.08,38.095,16.667,2
326,13,1,10.08,.,.,3
326,13,1,12.08,64.286,25,4
348,14,1,7,26.19,8.333,1
348,14,1,9,47.619,0,2
348,14,1,11,60.714,16.667,3
348,14,1,13,75,0,4
382,15,0,7.17,29.762,0,1
382,15,0,9.17,44.048,0,2
382,15,0,11.17,48.81,0,3
382,15,0,13.17,85.714,0,4
400,16,1,6,28.571,16.667,1
400,16,1,8,59.524,50,2
400,16,1,10,60.714,25,3
400,16,1,12,69.048,41.667,4
405,17,1,6.25,36.905,33.333,1
405,17,1,8.25,48.81,33.333,2
405,17,1,10.25,.,.,3
405,17,1,12.25,65.476,33.333,4
427,18,1,7.5,33.333,25,1
427,18,1,9.5,67.857,16.667,2
427,18,1,11.5,63.095,25,3
427,18,1,13.5,69.048,33.333,4
431,19,0,6.42,16.667,0,1
431,19,0,8.42,26.19,8.333,2
431,19,0,10.42,27.381,8.333,3
431,19,0,12.42,.,0,4
480,20,0,7.67,41.667,0,1
480,20,0,9.67,51.19,8.333,2
